Time_s,RPM,Iq_A,Vbat_V,Tinv_C,Treg_C
19.5884964,141,-0.013,19,26,26
19.5984964,132,-0.013,19,26,26
19.6084964,125,-0.013,19,26,26
19.6184964,130,-0.013,19,26,26
19.6284964,129,-0.013,19,26,26
19.6384964,140,-0.013,19,26,26
19.6420603,118,0.012,19,26,26
19.6520603,132,0.012,19,26,26
19.6620603,140,0.012,19,26,26
19.6720603,128,0.012,19,26,26
19.6820603,132,0.012,19,26,26
19.6920603,126,0.012,19,26,26
19.7020603,139,0.012,19,26,26
19.7120603,122,0.012,19,26,26
19.7220603,139,0.012,19,26,26
19.7320603,143,0.012,19,26,26
19.6857039,133,0.001,19,26,26
19.6957039,110,0.001,19,26,26
19.7057039,142,0.001,19,26,26
19.7157039,133,0.001,19,26,26
19.7257039,136,0.001,19,26,26
19.7357039,133,0.001,19,26,26
19.7457039,124,0.001,19,26,26
19.7557039,140,0.001,19,26,26
19.7657039,126,0.001,19,26,26
19.7757039,138,0.001,19,26,26
19.8134413,114,0.013,19,26,26
19.8234413,133,0.013,19,26,26
19.8334413,135,0.013,19,26,26
19.8434413,137,0.013,19,26,26
19.8534413,135,0.013,19,26,26
19.8634413,125,0.013,19,26,26
19.8734413,136,0.013,19,26,26
19.8834413,130,0.013,19,26,26
19.8934413,140,0.013,19,26,26
19.9034413,129,0.013,19,26,26
20.0357679,139,-0.011,19,26,26
20.0457679,137,-0.011,19,26,26
20.0557679,122,-0.011,19,26,26
20.0657679,132,-0.011,19,26,26
20.0757679,131,-0.011,19,26,26
20.0857679,140,-0.011,19,26,26
20.0957679,129,-0.011,19,26,26
20.1057679,133,-0.011,19,26,26
20.1157679,124,-0.011,19,26,26
20.1257679,141,-0.011,19,26,26
20.1455523,133,-0.021,19,26,26
20.1555523,112,-0.021,19,26,26
20.1655523,143,-0.021,19,26,26
20.1755523,132,-0.021,19,26,26
20.1855523,136,-0.021,19,26,26
20.1955523,133,-0.021,19,26,26
20.2055523,134,-0.021,19,26,26
20.2155523,125,-0.021,19,26,26
20.2255523,141,-0.021,19,26,26
20.2355523,123,-0.021,19,26,26
20.3317355,117,0.007,19,26,26
20.3417355,134,0.007,19,26,26
20.3517355,134,0.007,19,26,26
20.3617355,143,0.007,19,26,26
20.3717355,126,0.007,19,26,26
20.3817355,136,0.007,19,26,26
20.3917355,128,0.007,19,26,26
20.4017355,132,0.007,19,26,26
20.4117355,141,0.007,19,26,26
20.4217355,131,0.007,19,26,26
20.3934009,139,-0.012,19,26,26
20.4034009,121,-0.012,19,26,26
20.4134009,132,-0.012,19,26,26
20.4234009,131,-0.012,19,26,26
20.4334009,145,-0.012,19,26,26
20.4434009,127,-0.012,19,26,26
20.4534009,136,-0.012,19,26,26
20.4634009,127,-0.012,19,26,26
20.4734009,135,-0.012,19,26,26
20.4834009,130,-0.012,19,26,26
20.5916285,141,0,19,26,26
20.6016285,131,0,19,26,26
20.6116285,133,0,19,26,26
20.6216285,125,0,19,26,26
20.6316285,142,0,19,26,26
20.6416285,122,0,19,26,26
20.6516285,137,0,19,26,26
20.6616285,146,0,19,26,26
20.6716285,133,0,19,26,26
20.6816285,111,0,19,26,26
20.7614049,136,0.01,19,26,26
20.7714049,129,0.01,19,26,26
20.7814049,134,0.01,19,26,26
20.7914049,139,0.01,19,26,26
20.8014049,131,0.01,19,26,26
20.8114049,139,0.01,19,26,26
20.8214049,124,0.01,19,26,26
20.8314049,132,0.01,19,26,26
20.8414049,134,0.01,19,26,26
20.8514049,143,0.01,19,26,26
20.9493667,144,-0.009,19,26,26
20.9593667,134,-0.009,19,26,26
20.9693667,136,-0.009,19,26,26
20.9793667,123,-0.009,19,26,26
20.9893667,134,-0.009,19,26,26
20.9993667,142,-0.009,19,26,26
21.0093667,131,-0.009,19,26,26
21.0193667,133,-0.009,19,26,26
21.0293667,126,-0.009,19,26,26
21.0393667,142,-0.009,19,26,26
21.1289248,141,0.002,19,26,26
21.1389248,128,0.002,19,26,26
21.1489248,140,0.002,19,26,26
21.1589248,137,0.002,19,26,26
21.1689248,140,0.002,19,26,26
21.1789248,118,0.002,19,26,26
21.1889248,136,0.002,19,26,26
